Company Name,Location,Company URL,LinkedIn URL,Brands,Description
Comp-Ware Systems,"Christmas,FL",http://www.comp-ware.net,https://www.linkedin.com/in/richard-kann-making-pet-businesses-successful-b2a430145/," Retail POS, Wholesale/Distribution systems
Features:
Seasonal AI forecasting
All frequent buyer programs
Automated Ecommerce
Home delivery and subscriptions
Auto loading vendor catalogs with pictures
Picture & phonetic item recall
Electronic ordering from suppliers
Plus much more",
"CRICKETONE CO., LTD","Ho Chi Minh,",http://www.cricketone.asia,https://www.linkedin.com/in/bicky-nguyen-309b1358/," We have 4 main products, de-legged whole dried cricket, 64% minimum protein whole powder, 74% minimum protein defatted powder, and super fine powder that are being used in food and Petfood industries. Now we are launching Meat Textured Cricket called Meat Analog to serve the alternative protein sector.",
"Curicyn, Inc.","Ashford,AL",http://www.curicyn.com,https://www.linkedin.com/company/18301122/admin/," Curicyn
BodyGuard
DuraCloud
Allesorb",Allesorb Training Pad
D Oh Gee & EquineX CBD,"Scottsdale,AZ",https://www.skywellness.com/,https://www.linkedin.com/company/skywellness1/, D Oh Gee & EquineX is the best source for USA manufactured hemp wellness. The brands offer easy-to-use dosage guides along with extensive 3rd party lab testing. D Oh Gee Chewies won 2022 Product of the Year in the CBD pet Category (Kantar).,"D Oh Gee & EquineX Horse Care were developed with pet parents and their petâs needs in mind for CBD. Each CBD pet product is holistically designed for supportive, natural care for your dog or equineâs physical and mental well-being.Â The brands offer easy-to-use dosage guides along with extensive 3rd party lab testing. Voted Product of the Year 2022."
De'Vora Pet Products,"Pomona,NJ",https://devora.us/,https://www.linkedin.com/company/de-vora, Scratch Square health and wellness toys serves as an emery board for pets that are crafted for proper pet engagement and topnotch grooming.,
DINBEAT,"Barcelona,Barcelona",http://www.dinbeat.com,https://www.linkedin.com/company/dinbeaters%20," Dinbeatâ¯UNO.  A wearable device for veterinary use to wirelessly track pets' vital signs in real time. Receive alerts wherever you are: ECG, heart rate, breathing per minute, temperature, position, activity and vocalization.",
Distribution Management,"St. Charles,MO",https://www.distributionmgmt.com,https://www.linkedin.com/company/distribution-management-inc/mycompany/?viewAsMember=true,,
DK Stainless,"Phenix City,AL",http://www.dk-stainless.com,https://au.linkedin.com/company/dk-stainless, DK Stainless,"We have taken responsibility to play our part in designing and manufacturing products from quality materials which are made to last, saving our customers time and money - Buy quality. Buy once!"
DOG By Dr Lisa,"Sydney,",http://www.dogbydrlisa.com,https://www.linkedin.com/company/dog-by-dr-lisa/,,"DOG by Dr Lisa is a range of luxury skincare and lifestyle products for your dog. Created by veterinarian Dr Lisa Chimes these products are all-natural, plant-based, non-toxic, 100% biodegradable, recyclable, and proudly made in Australia."
Dog Handler Academy,"La Crosse,WI",http://www.doghandleracademy.com,https://www.linkedin.com/company/dog-handler-academy/,,"Dog Handler Academy is a 100% online, automated, comprehensive employee training program for dog daycares and boarding facilities. Our real-life daycare videos and online quizzes educate your employees consistently and effectively WITHOUT textbooks or DVDs. Courses cover dog handler skills, social cues and safety, client relations, and more!"
Dog is Good,"Los Alamitos,CA",http://www.dogisgoodwholesale.com,http://www.linkedin.com/company/dog-is-good, DOG IS GOOD,"Dog is Good: Award-winning lifestyle brand for dog lovers! We offer a broad array of products including pet items, mens and womens apparel and accessories, gifts and home decor. Voted #1 brand for gifts for the pet lover by Pet Age Magazine, Dog is Good provides world-classÂ customer care along with retail strategies to help ensure your success.Â  Booth #5175"
Dog Tag Art,"Asheville,NC",http://www.dogtagart.com,https://www.linkedin.com/company/dog-tag-art-llc/about/," Lupine, Chewy",
Dogevity,"St. Petersburg,FL",https://dogevity.com/,https://linkedin.com/company/dogevity," Intensive Care, Peak Performance, Dogevity Plus, Joint Rejuvenation",
DoggyRade,"Saint Joseph,MO",https://us.doggyrade.com,https://www.linkedin.com/company/doggyrade/," DoggyRade -
DoggyRade, KittyRade, YummyRade, DoggyRade Prebiotic Chewies, and TummyRade Digestive Aid.","New product launch for DoggyRade Prebiotic Chewies and TummyRade Digestive Aid.Â  DoggyRade Chewies are tasty prebiotic chews to support your dog's immune and intestinal health.Â  It contains natural fiber prebiotics to promote the growth of beneficial bacteria in the gut.Â  DoggyRade Chewies are currently available in Chicken or Peanut Butter and Banana, but new Superfood flavors are coming soon!Â  TummyRade Digestive Aid is included in our TummyRade Digestive Aid Kit, which includes two DoggyRade 500 ml pouches, and four TummyRade Digestive Aid packets.Â  Dogs with minor intestinal upsets such as diarrhea or vomiting can be given DoggyRade and TummyRade in small amounts instead of their usual diet.Â  This allows the intestine to rest and recover for 2-3 days while keeping the intestinal cells nourished."
Dog-O's,"GREENVILLE,IL",http://www.dogostreats.com,https://www.linkedin.com/company/marcoot-jersey-creamery/about/," Dog-O'sâ¢ Cheesy ChompersÂ®, Dog-O's Cheesy ChompersÂ® with Bacon, Dog-O'sâ¢ Cheese Bites, and Dog-O'sâ¢ Ice Ice Doggyâ¢","Dog-O's Dog Treats are made fresh daily at 7th generation family-owned farm Marcoot Jersey Creamery in Greenville, IL. The growing line of award-winning 100% USA cheese treats, cheese bites and frozen favorites cater to pet-parents that demand and deserve the best and the pet retailers that support them. To order or learn more, visit dogostreats.com."
Dogsee,"Bengaluru,Karnataka",http://www.dogseechew.com,https://www.linkedin.com/company/dogsee-chew/,,
Durkha Dog Chew,"Kent,WA",https://durkha.pet/,https://www.linkedin.com/in/durkha-dog-chew-65249411b/," Durkha Cheese Chews is a manufacturer of Cheese Chews using an ancient Himalayan recipe and art. Durkha Chews are natural, long-lasting, non-staining, odorless, and grain & gluten-free! There is no better alternative to rawhide.","Durkha Chews are made using an ancient Himalayan recipe of Yak and/or Cow milk that is dried and hardened to form a delicious cheese snack for dogs. They are 100% natural, long-lasting, non-staining, odorless, and grain & gluten-free! There is no better alternative to rawhide."
Earth Animal,"Southport,CT",http://www.earthanimal.com,https://www.linkedin.com/company/earth-animal, Earth Animal,"Earth Animal has been helping dogs and cats live long, healthy lives through a holistic approach since 1979. Founded by veterinarian Bob Goldstein and his wife, Susan, Earth Animal is pioneering a more humane and sustainable way of enhancing and preserving quality of life for animals, people, and the Earth."
Earth Rated,"Mont Royal,QC",http://www.earthrated.com,https://www.linkedin.com/company/earth-rated, Earth Rated,"To learn more about our products, visit us at booth 5462.Â  We can't wait to meet you!"
Earthbath,"SAN FRANCISCO,CA",http://www.earthbath.com,https://www.linkedin.com/company/earthbathpetcare, earthbathÂ®,"earthbathÂ®'s comprehensive line of shampoos, conditioners and between-bath grooming products are blended with the finest ingredients and designed with the unique needs of each pet in mind. From everyday cleansing and coat conditioning to itch relief, hot spots, skin sensitivity, odor relief, and beyond. 100% satisfaction guaranteed."
Earthz Pet,"Auckland,",http://www.earthzpet.com,https://www.linkedin.com/company/71372740," Available in both cat and dog. 
Free Range Chicken
New Zealand Lamb
New Zealand White Fish",The Earthz Pet Dog gravy range also includes Lamb Gravy and Fish Gravy.
Elastitag - Bedford Industries,"Worthington,MN",http://www.elastitag.com,https://www.linkedin.com/company/267468/," ElastiTagÂ®, ElastiTabÂ®, ElastiToteÂ®, ElastiBandÂ®, ElastiTagÂ® Marquee","ElastiTag is the most versatile promotional tool available! This innovative hang tagÂ engages the consumer at store level while offering a coupon, launching new products, providing product benefits, enhancing your brand or telling your story. Creative and easy to apply, this over-achiever is the Super Hero ofÂ  Hang Tags."
Emirates Printing Press - Dubai,"Dubai,",http://www.eppdubai.com,https://www.linkedin.com/company/emirates-printing-press-epp-," Flexible Laminates & Pouches, 
Self-adhesive & Wrap-around Labels, Folding Cartons & Rigid Set-up Boxes for Perfumes, Cosmetics, Confectionaries, FMCG, Pharmaceuticals and Tobacco",Please visit our website www.eppdubai.com to know more about our services.
eShipping,"Parkville,MO",http://www.eshipping.biz,https://www.linkedin.com/company/eshipping/, eShipping & eShipping Distribution Services.,
"Evangers Dog and Cat Food Co., Inc.","Markham,IL",http://www.evangersdogfood.com,https://www.linkedin.com/company/evanger's-dog-and-cat-food-co.," Evanger's
Evanger's USDA Organics
Hi Bio Superfood
Against the Grain","The only remaining family-owned and operated pet food cannery in the U.S., Evangers offers USA-sourced nutrition."
FetchFind,"Evanston,IL",https://www.fetchfind.com/,https://www.linkedin.com/company/3786746/, FetchFind,"FetchFind, the official education partner to the WPA, provides pet industry businesses with a one-stop destination for world-class e-learning, staff reward and recognition tools, and access to affordable business solutions through its marketplace partner program."
Firefly Buys,"Buford,GA",https://www.fireflybuys.com/,https://www.linkedin.com/company/firefly-buys/mycompany/%20, Amazon Managers for 100+ brands,"Looking to grow on Amazon but don't want to lose control? Think of us as the online marketplace division of your businessâwe do it all for you. Retailers at heart, our combined experience and expertise, alongside a 16 year e-commence history makes us perfectly positioned to help you take your Amazon business to the next level."
FirstMate Pet Foods,"North Vancouver,BC",http://www.firstmate.com,https://www.linkedin.com/company/first-mate-pet-foods," FirstMate Pet Foods, KASIKS Pet Foods, Skoki","FirstMate Pet Foods is a Canadian pet food manufacturer of kibble and can dietsÂ that sellÂ in N. America, Europe, & Asia"
Friday's Dog,"Berwyn,PA",http://fridaysdog.com,https://www.linkedin.com/company/fridays-dog/, Friday's Dog,"While we love dogs and their people, we ultimately want to do good by all dogs -Â EspeciallyÂ those still searching for their forever homes. Friday's Dog is committed to washing a dog in need for every bottle sold to give them a change at a forever home with ourÂ partner Best Friends Animal Society."
Fromm Family Foods,"Mequon,WI",http://www.frommfamily.com,https://www.linkedin.com/company/fromm-family-foods," Fromm Four-Star Nutritionals, Fromm Gold Nutritionals, Fromm Family Classic, Fromm Crunchy Os, Fromm PÃ¢tÃ©, Fromm Purrsnickety, Fromm Cat-a-stroni","Fromm Family Foods is a fifth-generation family-owned and operated artisan pet food company based in Wisconsin. Since 1904, our family has maintained a tradition of quiet innovation dedicated to the health and nutrition of animals."
Furtographs Pet Portraiture,"Los Angeles,CA",https://www.furtographs.com/,https://www.linkedin.com/in/furtographs, FURTOGRAPHS Pet Portraiture,"Flagship Studio in LA with pop-up sessions in NYC + your location.Â  FURTOGRAPHS strives to capture your pet in a dramatic, elegant & timeless manner.Â  With our expansive library of images we also work with your location creating innovative artwork."
General and Pharma,"Desenzano del Garda (BS),Italy",http://www.generalandpharma.com,https://www.linkedin.com/company/general-and-pharma,,
Genhigh Tech,"Los Angeles,CA",http://www.neabot.com,https://www.linkedin.com/company/13698992," Neakasa, formerly known as Neabot, a global brand of smart home appliances integrating product development, sales and service, offers a wide range of smart home cleaning and pet cleaning products.","Genhigh Tech was founded in 2017 with a mission of providing every household a better home cleaning experience.Â  Operating under Neakasa, formerly known as Neabot, Genhigh providesÂ a portfolio of smart home and pet cleaning product lines. The Neakasa/Neabot P1 Pro pet grooming kit & vacuum is an absolute innovation and big hit on the market."
"Genie's Therapeutics, Inc.","Ojai,CA",https://geniestherapeutics.com,https://www.linkedin.com/company/geniestherapeutics,,Genie's Therapeutics is a canine wellness company focusing on health and wellness supplements that help improve the quality of life for your dog.
Genuine Fred,"Pawtucket,RI",http://www.genuinefred.com,https://www.linkedin.com/company/genuinefred," Howligans, Genuine Fred","FRED focuses on well-designed stuff that solves a problem, puts a smile on your face, & doesnât cost a fortune. We delight in taking everyday, functional products & turning them into something fresh & unexpected, something funny, something personal."
GivePet,"Overland Park,KS",http://www.givepet.com,https://www.linkedin.com/company/givepet/," Breakfast All Day, Ranch Hand, Doghouse Rock, Campfire Feast, Beagle Scout, Doggy Paddle, Upward Dog, Off-Leash Leisure, Pugly Sweater Party, Peppermint Bark, Love Bites, Howl-O-Ween, Muttcracker, Gingerbone House, Sugar, Spice","GivePet is a super premium dog treat company that donates enough treats for at least 10 shelter dogs with every bag purchased. The treats are all natural, no sugar or salt, no artificial ingredients. GivePet offers soft/training treats, soft-baked treats & oven-baked treats in packaged and bulk. Products are made in the USA in small batches for freshness."
Grandma Lucy's,"Rancho Santa Margarita,CA",http://www.grandmalucys.com,https://www.linkedin.com/company/grandma-lucy's," Grandma Lucy's - Artisan, Pureformance, Macanna, Moxie, 3 Bears, Singles, Pumpkin Pouches, Simple Replacement, Organic Baked Treats.","Grandma Lucyâs believes that a healthy pet starts with healthy food, and that a remedy to many common ailments can be found by simply changing a petâs diet. Since 1999, the brand has maintained a reputation for making only the best and it is constantly developing new products packed with leading-edge nutrition."
Groom Professional,"Fairfield,AZ",https://christiesglobal.com/service/groom-professional/,https://www.linkedin.com/company/christies-global," With 30 yearsâ experience in the pet grooming industry, we have adapted to meet changing market requirements and have developed Groom Professional Fresh as an extension to the range.","Groom Professional: A Leading Brand trusted & loved by groomers across Europe & beyond. Since 2009 our goal remains to provide a full range of high-quality products, value for money with attention to detail. Our professional Grooming customer motivates us to continually evolve & expand our range."
H&C Animal Health,"Parker,CO",http://www.HCAnimalHealth.com,https://www.linkedin.com/company/h&c-animal-health," Angels' Eyes, bSerene, CatWater, ActivPhy, Virbac, MAXI/GUARD, and more.","H&C Animal Health was created in 2013 by pet industry veteran, Chuck Latham, founder of Chuck Latham Associates, Inc., to bring the most innovative, highly effective, and clinically proven products from veterinary to over-the-counter retail. The company started with one product and today features more than 12 household-name brands."
Halo,"Tampa,FL",https://halopets.com,https://www.linkedin.com/company/betterchoice/mycompany/," Halo Holistic Dog and Cat foods made with responsibly sourced ingredients.
Halo Elevate Dog foods that provide natural, science-based nutrition for optimal health.",
Happy Cat Hotels & Spas,"East Granby,CT",https://happycatfranchising.com/,https://www.linkedin.com/company/happy-cat-hotel/, Happy Cat Hotel & Spa,Click hereÂ to learn whyÂ franchising the world's greatest Happy Cat Hotel & Spa might just be your next big adventure.
Happy Go Healthy,"Cincinnati,OH",http://www.happygohealthypets.com,https://www.linkedin.com/company/happy-go-healthy/," Happy Go Healthy Premium Dog Supplements: Hip & Joint, Skin & Coat, Daily Wellness, and Gut Health","Every element that makes up Happy Go HealthyÂ®Â products is precisely and intentionally selected by nutritionists and veterinarians. No gimmicks, no fillers. Happy Go HealthyÂ combines Prebiotics and Probiotics with proprietary ingredients for true holistic and synergistic benefits that radiate from the inside out."
HAPPYBOND,"Venice,CA",http://www.happybond.com,https://www.linkedin.com/company/happybond," HAPPYBOND, HAPPYBOND x re*spin, HAPPYBOND x Ziggy Marley, HAPPYBOND PowerFood","HAPPYBOND creates new Science backed nutrition to keep your dogs healthy and strengthen that special BOND. We offer 2 lines of supplements, treats and human grade wet food available now! Our patented Collagen+ formula shows real results within weeks!"
Hartz Mountain Corporation,"Secaucus,NJ",http://www.hartz.com,https://www.linkedin.com/company/hartz-mountain-corporation/mycompany/verification/," HARTZ, DELECTABLES","Hartz is a leading manufacturer of pet care products in the United States and Canada. For over 95 years, Hartz has provided a full range of pet care products of the highest quality that help pet owners love their pets the way their pets love them: unconditionally."
Haute Diggity Dog,"Chicago,IL",http://www.hautediggitydog.com,https://www.linkedin.com/company/haute-diggity-dog, Haute Diggity Dog,"Haute Diggity Dog is the original designer parody plush dog toy manufacturer. Â Stylish dogs love our cute and stylish toys. Â Best selling plush toys include Chewy Vuiton, Jimmy Chew, Starbarks, Tory Bark, LickCroix, Woof Clicquot, and many more. Â Stop by and see what''s new!"
